"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Error message is shown for company name is shorter than 4 or longer than 100 characters.","0","testVerifyErrorMessageForInvalidCompanyNameLength","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyErrorMessageForInvalidCompanyNameLength"
"Error is displayed when trying to create a company with special characters in the name.","0","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters"
"Error is displayed when trying to create a company with special characters in the name.","0","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters"
"Error is displayed when trying to create a company with special characters in the name.","0","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters"
"Unauthenticated users are automatically redirected to the 'Login page'","0","testUnauthenticatedUserRedirectionToLoginPage","Surefire suite","Wed Apr 09 12:22:47 GMT 2025","skipped","Wed Apr 09 12:22:47 GMT 2025","xyz.npgw.test.run.LoginPageTest","Surefire test","xyz.npgw.test.run.LoginPageTest","testUnauthenticatedUserRedirectionToLoginPage"
"","1","afterMethod","Surefire suite","Wed Apr 09 12:22:44 GMT 2025","broken","Wed Apr 09 12:22:44 GMT 2025","xyz.npgw.test.run.DashboardPageTest","Surefire test","xyz.npgw.test.run.DashboardPageTest","afterMethod"
"Company creation with Cyrillic symbols","0","testAddCompanyWithCyrillicSymbols","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testAddCompanyWithCyrillicSymbols"
"Company creation with Latin symbols","0","testAddCompanyWithAllFilledFields","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testAddCompanyWithAllFilledFields"
"User navigate to 'Login page' after logout","1","testNavigateToLoginPageAfterLogout","Surefire suite","Wed Apr 09 12:22:44 GMT 2025","skipped","Wed Apr 09 12:22:44 GMT 2025","xyz.npgw.test.run.DashboardPageTest","Surefire test","xyz.npgw.test.run.DashboardPageTest","testNavigateToLoginPageAfterLogout"
"","0","afterMethod","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","broken","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","afterMethod"
"Verify: The 'Status' dropdown toggles and contains options All, Active, Inactive.","0","testOpenStatusDropdown","Surefire suite","Wed Apr 09 12:22:49 GMT 2025","skipped","Wed Apr 09 12:22:49 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","Surefire test","xyz.npgw.test.run.AcquirersPageTest","testOpenStatusDropdown"
"Verifying that we can switch the page when we click next button","1","testPaginationNextButton","Surefire suite","Wed Apr 09 12:22:17 GMT 2025","unknown","Wed Apr 09 12:22:17 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","Surefire test","xyz.npgw.test.run.TransactionsPageTest","testPaginationNextButton"
"Error is displayed when trying to create a company with special characters in the name.","0","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters"
"Error message is shown for company name is shorter than 4 or longer than 100 characters.","1","testVerifyErrorMessageForInvalidCompanyNameLength","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyErrorMessageForInvalidCompanyNameLength"
"","0","afterMethod","Surefire suite","Wed Apr 09 12:22:49 GMT 2025","broken","Wed Apr 09 12:22:49 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","Surefire test","xyz.npgw.test.run.AcquirersPageTest","afterMethod"
"Company can be added by filling out required fields","0","testAddCompanyByFillRequiredFields","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testAddCompanyByFillRequiredFields"
"","0","afterMethod","Surefire suite","Wed Apr 09 12:22:47 GMT 2025","broken","Wed Apr 09 12:22:47 GMT 2025","xyz.npgw.test.run.LoginPageTest","Surefire test","xyz.npgw.test.run.LoginPageTest","afterMethod"
"","0","beforeMethod","Surefire suite","Wed Apr 09 12:22:46 GMT 2025","broken","Wed Apr 09 12:22:46 GMT 2025","xyz.npgw.test.run.TeamPageTest","Surefire test","xyz.npgw.test.run.TeamPageTest","beforeMethod"
"User navigate to 'System administration page' after clicking on 'System administration' link on the header","0","testNavigateToSystemAdministrationPage","Surefire suite","Wed Apr 09 12:22:46 GMT 2025","skipped","Wed Apr 09 12:22:46 GMT 2025","xyz.npgw.test.run.TeamPageTest","Surefire test","xyz.npgw.test.run.TeamPageTest","testNavigateToSystemAdministrationPage"
"","0","beforeMethod","Surefire suite","Wed Apr 09 12:22:49 GMT 2025","broken","Wed Apr 09 12:22:49 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","Surefire test","xyz.npgw.test.run.AcquirersPageTest","beforeMethod"
"Unauthenticated users are automatically redirected to the 'Login page'","1","testUnauthenticatedUserRedirectionToLoginPage","Surefire suite","Wed Apr 09 12:22:47 GMT 2025","skipped","Wed Apr 09 12:22:47 GMT 2025","xyz.npgw.test.run.LoginPageTest","Surefire test","xyz.npgw.test.run.LoginPageTest","testUnauthenticatedUserRedirectionToLoginPage"
"User email is NOT remembered after first successful login with unchecked 'Remember me'","0","testRememberMeUncheckedDontSaveUserEmail","Surefire suite","Wed Apr 09 12:22:47 GMT 2025","skipped","Wed Apr 09 12:22:47 GMT 2025","xyz.npgw.test.run.LoginPageTest","Surefire test","xyz.npgw.test.run.LoginPageTest","testRememberMeUncheckedDontSaveUserEmail"
"Verify that the 'Add Company' window displays the correct title in the header.","0","testVerifyAddCompanyWindowTitle","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyAddCompanyWindowTitle"
"Error is displayed when trying to create a company with special characters in the name.","0","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters"
"Displaying options when clicking on Selector Rows","0","testCountOptionsSelectorRows","Surefire suite","Wed Apr 09 12:22:48 GMT 2025","skipped","Wed Apr 09 12:22:48 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","Surefire test","xyz.npgw.test.run.TransactionsPageTest","testCountOptionsSelectorRows"
"Error message is shown for company name is shorter than 4 or longer than 100 characters.","0","testVerifyErrorMessageForInvalidCompanyNameLength","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyErrorMessageForInvalidCompanyNameLength"
"User navigate to 'Login page'","0","testNavigateToLoginPage","Surefire suite","Wed Apr 09 12:22:47 GMT 2025","skipped","Wed Apr 09 12:22:47 GMT 2025","xyz.npgw.test.run.LoginPageTest","Surefire test","xyz.npgw.test.run.LoginPageTest","testNavigateToLoginPage"
"Error is displayed when trying to create a company with special characters in the name.","0","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters","Surefire suite","Wed Apr 09 12:22:50 GMT 2025","skipped","Wed Apr 09 12:22:50 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","Surefire test","xyz.npgw.test.run.AddCompanyDialogTest","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters"
