"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"'Amount' column sorts ascending on first click and descending on second click.","8839","testSortByAmount","suite name","Sun Jun 08 06:09:50 GMT 2025","passed","Sun Jun 08 06:09:59 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testSortByAmount"
"Verify, that 'Reset filter' clean 'Company' input field","3530","testResetCompany","suite name","Sun Jun 08 06:08:21 GMT 2025","passed","Sun Jun 08 06:08:25 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetCompany"
"Deactivate and activate user under company admin","16579","testDeactivateAndActivateCompanyUser","suite name","Sun Jun 08 06:04:24 GMT 2025","passed","Sun Jun 08 06:04:41 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testDeactivateAndActivateCompanyUser"
"Verify Acquirer can be activated and deactivated from the table","7930","testAcquirerCanBeActivatedAndDeactivated","suite name","Sun Jun 08 06:12:07 GMT 2025","passed","Sun Jun 08 06:12:15 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testAcquirerCanBeActivatedAndDeactivated"
"Check/Uncheck Visible columns in the Settings and verify table column headers","13382","testCheckUncheckOneVisibleColumn","suite name","Sun Jun 08 06:06:43 GMT 2025","passed","Sun Jun 08 06:06:56 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testCheckUncheckOneVisibleColumn"
"Check that after click on transactions in column NPGW reference user see transaction details","3669","testCheckTransactionDetails","suite name","Sun Jun 08 06:04:52 GMT 2025","passed","Sun Jun 08 06:04:56 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testCheckTransactionDetails"
"Check that click on Logo return user to the dashboard page from other pages","3125","testClickLogoReturnToDashboardPage","suite name","Sun Jun 08 06:03:36 GMT 2025","passed","Sun Jun 08 06:03:40 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testClickLogoReturnToDashboardPage"
"Verify 'Add business unit' button activation once some company is selected","7751","testVerifyAvailabilityOfBusinessUnitButton","suite name","Sun Jun 08 06:12:29 GMT 2025","passed","Sun Jun 08 06:12:36 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testVerifyAvailabilityOfBusinessUnitButton"
"Filtering transactions by Amount","5887","testFilterTransactionsByAmount","suite name","Sun Jun 08 06:08:33 GMT 2025","passed","Sun Jun 08 06:08:39 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByAmount"
"'Create' button is disabled when required fields are not filled.","2901","testCreateButtonDisabledWhenRequiredFieldsAreEmpty","suite name","Sun Jun 08 06:03:07 GMT 2025","passed","Sun Jun 08 06:03:10 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testCreateButtonDisabledWhenRequiredFieldsAreEmpty"
