"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tooltips for available actions check","0","testTooltipsForActionsControlTable","suite name","Mon Oct 20 21:37:51 GMT 2025","unknown","Mon Oct 20 21:37:51 GMT 2025","xyz.npgw.test.run.FraudControlTest","test name","xyz.npgw.test.run.FraudControlTest","testTooltipsForActionsControlTable"
"Correct transaction summary mock data is displayed on Dashboard page","0","testTransactionSummaryMockAsTestUser","suite name","Mon Oct 20 21:37:51 GMT 2025","unknown","Mon Oct 20 21:37:51 GMT 2025","xyz.npgw.test.run.TestUserDashboardPageTest","test name","xyz.npgw.test.run.TestUserDashboardPageTest","testTransactionSummaryMockAsTestUser"
"Verify Minimum and Maximum Password Length Restrictions (negative)","2696","testPasswordLengthRestrictionsOnChange","suite name","Mon Oct 20 21:52:05 GMT 2025","passed","Mon Oct 20 21:52:07 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testPasswordLengthRestrictionsOnChange"
"New acquirer MID can be successfully set up and displayed correctly in the acquirers table.","18263","testSetupAcquirerMid","suite name","Mon Oct 20 21:40:22 GMT 2025","passed","Mon Oct 20 21:40:40 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testSetupAcquirerMid"
"Delete Active Fraud Control not added to Business Unit","6163","testDeleteActiveFraudControlNotAddedToBusinessUnit","suite name","Mon Oct 20 21:48:02 GMT 2025","passed","Mon Oct 20 21:48:08 GMT 2025","xyz.npgw.test.run.FraudControlTest","test name","xyz.npgw.test.run.FraudControlTest","testDeleteActiveFraudControlNotAddedToBusinessUnit"
"Verify that a new business unit wasn't added once click 'Close' button","5072","testCloseButtonAndDiscardChanges","suite name","Mon Oct 20 21:49:42 GMT 2025","passed","Mon Oct 20 21:49:47 GMT 2025","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","test name","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","testCloseButtonAndDiscardChanges"
"Verify, that 'Reset filter' button change 'Currency' to default value (ALL)","6175","testResetCurrencyAsUser","suite name","Mon Oct 20 21:54:16 GMT 2025","passed","Mon Oct 20 21:54:23 GMT 2025","xyz.npgw.test.run.UserTransactionsPageTest","test name","xyz.npgw.test.run.UserTransactionsPageTest","testResetCurrencyAsUser"
"Verify that business unit can be deleted","6504","testDeleteBusinessUnit","suite name","Mon Oct 20 21:50:08 GMT 2025","passed","Mon Oct 20 21:50:15 GMT 2025","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","test name","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","testDeleteBusinessUnit"
"User email is remembered after first successful login with checked 'Remember me'","3020","testRememberMeCheckedSavesUserEmailUnauthenticated","suite name","Mon Oct 20 21:55:38 GMT 2025","passed","Mon Oct 20 21:55:41 GMT 2025","xyz.npgw.test.run.UnauthenticatedLoginPageTest","test name","xyz.npgw.test.run.UnauthenticatedLoginPageTest","testRememberMeCheckedSavesUserEmailUnauthenticated"
"Verify that business unit cannot be deleted if there are users associated with it","5644","testDeletingBusinessUnitWithUsersFailsWithError","suite name","Mon Oct 20 21:48:21 GMT 2025","passed","Mon Oct 20 21:48:27 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testDeletingBusinessUnitWithUsersFailsWithError"
