"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check/Uncheck Visible columns in the Settings and verify table column headers","37146","testCheckUncheckOneVisibleColumn","suite name","Mon Oct 20 22:34:29 GMT 2025","passed","Mon Oct 20 22:35:06 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testCheckUncheckOneVisibleColumn"
"Check the hiding of parameters by pressing the chevron in Card details section","10413","testCheckTheHidingOfParameters","suite name","Mon Oct 20 22:48:52 GMT 2025","passed","Mon Oct 20 22:49:02 GMT 2025","xyz.npgw.test.run.TransactionDetailsTest","test name","xyz.npgw.test.run.TransactionDetailsTest","testCheckTheHidingOfParameters"
"Deactivate company analyst by 'Change user activity button' and verify status change as admin","13530","testDeactivateUserViaChangeUserActivityButtonAsAdmin","suite name","Mon Oct 20 22:49:59 GMT 2025","passed","Mon Oct 20 22:50:12 GMT 2025","xyz.npgw.test.run.AdminTeamPageTest","test name","xyz.npgw.test.run.AdminTeamPageTest","testDeactivateUserViaChangeUserActivityButtonAsAdmin"
"The 'Currency' dropdown toggles and contains options","2525","testOpenCurrencyDropdown","suite name","Mon Oct 20 22:42:14 GMT 2025","passed","Mon Oct 20 22:42:17 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testOpenCurrencyDropdown"
"Editing a business unit updates its name while preserving the same ID","5861","testEditBusinessUnit","suite name","Mon Oct 20 22:46:21 GMT 2025","passed","Mon Oct 20 22:46:27 GMT 2025","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","test name","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","testEditBusinessUnit"
"The company info block can be hidden and shown via settings.","3448","testToggleCompanyInfoVisibilityViaSettingsAsAdmin","suite name","Mon Oct 20 22:52:06 GMT 2025","passed","Mon Oct 20 22:52:10 GMT 2025","xyz.npgw.test.run.TestAdminCompaniesAndBusinessUnitsTest","test name","xyz.npgw.test.run.TestAdminCompaniesAndBusinessUnitsTest","testToggleCompanyInfoVisibilityViaSettingsAsAdmin"
"The transaction table data on the UI matches the exported CSV file data.","36978","testTransactionTableMatchesDownloadedCsv","suite name","Mon Oct 20 22:39:13 GMT 2025","passed","Mon Oct 20 22:39:50 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testTransactionTableMatchesDownloadedCsv"
"Verify, that contents of Tooltips, that appear after hovering on the icon-buttons, are correct","6536","testTooltipsContent","suite name","Mon Oct 20 22:45:59 GMT 2025","passed","Mon Oct 20 22:46:05 GMT 2025","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","test name","xyz.npgw.test.run.CompaniesAndBusinessUnitsTest","testTooltipsContent"
"Verify that the Company admin can see all the company's business units in the Business unit dropdown list","1324","testTheVisibilityOfTheAvailableBusinessUnitOptionsAsAdmin","suite name","Mon Oct 20 22:50:05 GMT 2025","passed","Mon Oct 20 22:50:06 GMT 2025","xyz.npgw.test.run.AdminTransactionsPageTest","test name","xyz.npgw.test.run.AdminTransactionsPageTest","testTheVisibilityOfTheAvailableBusinessUnitOptionsAsAdmin"
"Table column headers fit inside viewport on each page when navigating through paginated results","17858","testColumnHeadersDisplayCorrectlyOnAllPages","suite name","Mon Oct 20 22:34:49 GMT 2025","passed","Mon Oct 20 22:35:07 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testColumnHeadersDisplayCorrectlyOnAllPages"
