"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Choose amount popup functionality","12524","testChooseAmountPopUp","suite name","Sun Jun 08 07:47:09 GMT 2025","passed","Sun Jun 08 07:47:21 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testChooseAmountPopUp"
"Log out via button in the Header","337","testLogOutViaButtonInHeader","suite name","Sun Jun 08 07:46:14 GMT 2025","passed","Sun Jun 08 07:46:14 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testLogOutViaButtonInHeader"
"The 'Currency' dropdown toggles and contains options","0","testOpenCurrencyDropdown","suite name","Sun Jun 08 07:48:36 GMT 2025","skipped","Sun Jun 08 07:48:36 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testOpenCurrencyDropdown"
"Check password policy validation error messages when changing password in user menu","15785","testChangePasswordValidationMessages","suite name","Sun Jun 08 07:44:57 GMT 2025","passed","Sun Jun 08 07:45:13 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePasswordValidationMessages"
"Filtering transactions by Card type displays only matching entries in the table.","0","testFilterByCardType","suite name","Sun Jun 08 07:48:34 GMT 2025","skipped","Sun Jun 08 07:48:34 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterByCardType"
"Check/Uncheck Visible columns in the Settings and verify table column headers","0","testCheckUncheckOneVisibleColumn","suite name","Sun Jun 08 07:48:34 GMT 2025","skipped","Sun Jun 08 07:48:34 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testCheckUncheckOneVisibleColumn"
"Verify validation messages when creating Acquirer with invalid input.","0","testDisplayValidationErrorsForInvalidAcquirerInput","suite name","Sun Jun 08 07:48:36 GMT 2025","skipped","Sun Jun 08 07:48:36 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testDisplayValidationErrorsForInvalidAcquirerInput"
"Filter transactions by business unit","1","testFilterTransactionsByBusinessUnit","suite name","Sun Jun 08 07:48:34 GMT 2025","skipped","Sun Jun 08 07:48:34 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByBusinessUnit"
"Verify that 'Create' button is disabled when Acquirer name is empty.","0","testDisableCreateButtonWhenAcquirerNameIsEmpty","suite name","Sun Jun 08 07:48:36 GMT 2025","skipped","Sun Jun 08 07:48:36 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testDisableCreateButtonWhenAcquirerNameIsEmpty"
"Verify, that 'Reset filter' button change 'Status' to default value ( ALL)","0","testResetStatus","suite name","Sun Jun 08 07:48:33 GMT 2025","skipped","Sun Jun 08 07:48:33 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetStatus"
"Verify Acquirers table contains correct column headers","0","testDisplayCorrectColumnHeadersInAcquirersTable","suite name","Sun Jun 08 07:48:37 GMT 2025","skipped","Sun Jun 08 07:48:37 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testDisplayCorrectColumnHeadersInAcquirersTable"
"Check/uncheck reports columns in the 'Generation Parameters dialog'","1","testCheckboxesOfGenerationParameters","suite name","Sun Jun 08 07:48:35 GMT 2025","skipped","Sun Jun 08 07:48:35 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testCheckboxesOfGenerationParameters"
"Verify the status is sent to the server","0","testStatusRequestServer","suite name","Sun Jun 08 07:48:33 GMT 2025","skipped","Sun Jun 08 07:48:33 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testStatusRequestServer"
"Verify that the placeholder text for each field is correct.","3791","testVerifyPlaceholders","suite name","Sun Jun 08 07:46:24 GMT 2025","passed","Sun Jun 08 07:46:28 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyPlaceholders"
"Verify that transactions are present in the table when a currency filter is applied on the last page","0","testTableDisplayWhenCurrencyFilterAppliedWhileOnLastPage","suite name","Sun Jun 08 07:48:34 GMT 2025","skipped","Sun Jun 08 07:48:34 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testTableDisplayWhenCurrencyFilterAppliedWhileOnLastPage"
"'Filename' column header sorts entries in alphabetical and reverse order","0","testSortingByFilename","suite name","Sun Jun 08 07:48:35 GMT 2025","skipped","Sun Jun 08 07:48:35 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testSortingByFilename"
"'Reset filter' clears selected options to default","0","testResetFilter","suite name","Sun Jun 08 07:48:34 GMT 2025","skipped","Sun Jun 08 07:48:34 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testResetFilter"
"'Creation Date' column sorts ascending by default and descending on click.","0","testSortByCreationDate","suite name","Sun Jun 08 07:48:34 GMT 2025","skipped","Sun Jun 08 07:48:34 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testSortByCreationDate"
"Validates successful business unit addition to company (E2E test).","0","testAddBusinessUnitEndToEndTest","suite name","Sun Jun 08 07:48:36 GMT 2025","skipped","Sun Jun 08 07:48:36 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testAddBusinessUnitEndToEndTest"
"Verifies that the Acquirers table displays correct data for the selected acquirer and shows relevant action buttons.","1","testDisplaySingleRowWhenAcquirerIsSelected","suite name","Sun Jun 08 07:48:37 GMT 2025","skipped","Sun Jun 08 07:48:37 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testDisplaySingleRowWhenAcquirerIsSelected"
"Filtering transactions by Currency","1","testFilterTransactionsByCurrency","suite name","Sun Jun 08 07:48:34 GMT 2025","skipped","Sun Jun 08 07:48:34 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByCurrency"
"Edit company info and save","0","testEditCompanyInfoAndSave","suite name","Sun Jun 08 07:48:37 GMT 2025","skipped","Sun Jun 08 07:48:37 GMT 2025","xyz.npgw.test.run.EditCompanyDialogTest","test name","xyz.npgw.test.run.EditCompanyDialogTest","testEditCompanyInfoAndSave"
"Add a new user and verify that all fields, statuses, and icons are correctly displayed(e2e).","6180","testAddCompanyAnalyst","suite name","Sun Jun 08 07:44:45 GMT 2025","passed","Sun Jun 08 07:44:52 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testAddCompanyAnalyst"
"Error is displayed when trying to create a company with an already existing name","3907","testAddCompanyWithSameName","suite name","Sun Jun 08 07:45:00 GMT 2025","passed","Sun Jun 08 07:45:03 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testAddCompanyWithSameName"
"User navigate to 'Transactions page' after clicking on 'Transactions' link on the header","0","testNavigateToTransactionsPage","suite name","Sun Jun 08 07:48:33 GMT 2025","skipped","Sun Jun 08 07:48:33 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testNavigateToTransactionsPage"
