"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Reset Amount Values","8492","testResetAmountValues","suite name","Thu May 15 20:45:37 GMT 2025","passed","Thu May 15 20:45:46 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetAmountValues"
"Verify that the placeholder text for each field is correct.","2857","testVerifyPlaceholders","suite name","Thu May 15 20:46:42 GMT 2025","passed","Thu May 15 20:46:45 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyPlaceholders"
"error message 'From should be lesser than To' appears","3116","testErrorMessageByAmount","suite name","Thu May 15 20:43:55 GMT 2025","passed","Thu May 15 20:43:58 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testErrorMessageByAmount"
"Verify that the color theme matching with the default browser theme","23","testDefaultThemeMatching","suite name","Thu May 15 20:40:18 GMT 2025","passed","Thu May 15 20:40:18 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testDefaultThemeMatching"
"User email is remembered after first successful login with checked 'Remember me'","3475","testRememberMeCheckedSavesUserEmail","suite name","Thu May 15 20:39:04 GMT 2025","passed","Thu May 15 20:39:07 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testRememberMeCheckedSavesUserEmail"
"User email is NOT remembered after first successful login with unchecked 'Remember me'","3112","testRememberMeUncheckedDontSaveUserEmail","suite name","Thu May 15 20:39:10 GMT 2025","passed","Thu May 15 20:39:14 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testRememberMeUncheckedDontSaveUserEmail"
"Displaying the number of rows on the screen when selecting Selector Rows.","2232","testCountSelectorRows","suite name","Thu May 15 20:43:13 GMT 2025","passed","Thu May 15 20:43:15 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testCountSelectorRows"
"Verify default filter state was applied once reset","11320","testResetAppliedFilter","suite name","Thu May 15 20:40:13 GMT 2025","passed","Thu May 15 20:40:24 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testResetAppliedFilter"
"Add users with roles [SUPER, ADMIN, USER] as super admin","8641","testAddUser","suite name","Thu May 15 20:39:44 GMT 2025","passed","Thu May 15 20:39:52 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testAddUser"
"Validates successful company creation and correct field persistence (E2E test).","13858","testAddCompanyEndToEndTest","suite name","Thu May 15 20:44:38 GMT 2025","passed","Thu May 15 20:44:52 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testAddCompanyEndToEndTest"
