"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Displaying selected currency","3611","testFilterDisplaysSelectedCurrency","suite name","Sun Jun 08 06:41:26 GMT 2025","passed","Sun Jun 08 06:41:30 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testFilterDisplaysSelectedCurrency"
"Verify that 'Company name' field is prefilled and impossible to change","7913","testCompanyNameFieldDefaultState","suite name","Sun Jun 08 06:46:48 GMT 2025","passed","Sun Jun 08 06:46:56 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testCompanyNameFieldDefaultState"
"Verify validation messages when creating Acquirer with invalid input.","3230","testDisplayValidationErrorsForInvalidAcquirerInput","suite name","Sun Jun 08 06:45:46 GMT 2025","passed","Sun Jun 08 06:45:49 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testDisplayValidationErrorsForInvalidAcquirerInput"
"Error is displayed when trying to create a company with special characters in the name.","1826","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters","suite name","Sun Jun 08 06:38:40 GMT 2025","passed","Sun Jun 08 06:38:42 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters"
"Check that click on Logo return user to the dashboard page from other pages","1791","testClickLogoReturnToDashboardPage","suite name","Sun Jun 08 06:38:45 GMT 2025","passed","Sun Jun 08 06:38:47 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testClickLogoReturnToDashboardPage"
"Correct merchant ID is sent to the server","2970","testCheckMerchantId","suite name","Sun Jun 08 06:42:15 GMT 2025","passed","Sun Jun 08 06:42:18 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testCheckMerchantId"
"Create new company admin user under admin","4139","testCreateCompanyAdminUser","suite name","Sun Jun 08 06:38:52 GMT 2025","passed","Sun Jun 08 06:38:56 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testCreateCompanyAdminUser"
"Error message is displayed when start date is after end date.","2043","testErrorMessageForReversedDateRange","suite name","Sun Jun 08 06:44:03 GMT 2025","passed","Sun Jun 08 06:44:05 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testErrorMessageForReversedDateRange"
"Verify that the color theme matching with the default browser theme","4","testDefaultThemeMatching","suite name","Sun Jun 08 06:39:00 GMT 2025","passed","Sun Jun 08 06:39:00 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testDefaultThemeMatching"
"Check password policy validation error messages when changing password in user menu","13282","testChangePasswordValidationMessages","suite name","Sun Jun 08 06:37:59 GMT 2025","passed","Sun Jun 08 06:38:13 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePasswordValidationMessages"
