"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filter acquirers by status.","2468","testFilterAcquirersByStatus","suite name","Thu May 15 16:01:35 GMT 2025","passed","Thu May 15 16:01:37 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testFilterAcquirersByStatus"
"Verify validation messages when creating Acquirer with invalid input.","3233","testDisplayValidationErrorsForInvalidAcquirerInput","suite name","Thu May 15 16:04:16 GMT 2025","passed","Thu May 15 16:04:19 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testDisplayValidationErrorsForInvalidAcquirerInput"
"Verify that the user can switch to the dark theme","761","testDarkColorThemeSwitch","suite name","Thu May 15 15:59:52 GMT 2025","passed","Thu May 15 15:59:53 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testDarkColorThemeSwitch"
"Verify that the 'Add Acquirer' form opens with the correct header and input fields, and closes correctly.","2832","testAddAcquirerFormOpensWithCorrectHeaderAndFieldsAndClosesCorrectly","suite name","Thu May 15 16:03:54 GMT 2025","passed","Thu May 15 16:03:56 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testAddAcquirerFormOpensWithCorrectHeaderAndFieldsAndClosesCorrectly"
"Verify Selecting 'Rows Per Page' Option Updates the Field Value.","5512","testSelectingRowsPerPageOptionUpdatesFieldValue","suite name","Thu May 15 16:02:34 GMT 2025","passed","Thu May 15 16:02:39 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testSelectingRowsPerPageOptionUpdatesFieldValue"
"Verify Acquirers table contains correct column headers","1674","testDisplayCorrectColumnHeadersInAcquirersTable","suite name","Thu May 15 16:01:07 GMT 2025","passed","Thu May 15 16:01:09 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testDisplayCorrectColumnHeadersInAcquirersTable"
"Check after clicking on Transactions user redirected to Transactions page","1959","testTransactionsLink","suite name","Thu May 15 16:00:23 GMT 2025","passed","Thu May 15 16:00:25 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testTransactionsLink"
"Status filter correctly displays users with 'Active' or 'Inactive' status","14820","testStatusFilterDisplaysCorrectUsers","suite name","Thu May 15 16:02:51 GMT 2025","passed","Thu May 15 16:03:06 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testStatusFilterDisplaysCorrectUsers"
"Verify content of 'Generation Parameters dialog'","1847","testContentOfGenerationParametersDalog","suite name","Thu May 15 16:03:24 GMT 2025","passed","Thu May 15 16:03:26 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testContentOfGenerationParametersDalog"
"The visibility of elements in the 'Acquirers List' control panel","1966","testVisibilityAcquirersListControlTab","suite name","Thu May 15 16:02:44 GMT 2025","passed","Thu May 15 16:02:46 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testVisibilityAcquirersListControlTab"
"Error is displayed when trying to create a company with special characters in the name.","1866","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters","suite name","Thu May 15 16:04:18 GMT 2025","passed","Thu May 15 16:04:20 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters"
"Validates successful business unit addition to company (E2E test).","8450","testAddBusinessUnitEndToEndTest","suite name","Thu May 15 15:58:42 GMT 2025","passed","Thu May 15 15:58:51 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testAddBusinessUnitEndToEndTest"
"Add users with roles [SUPER, ADMIN, USER] as super admin","9113","testAddUser","suite name","Thu May 15 15:59:23 GMT 2025","passed","Thu May 15 15:59:32 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testAddUser"
