"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Correct transaction summary mock data is displayed on Dashboard page","5503","testTransactionSummaryMock","suite name","Sun Jun 08 07:27:18 GMT 2025","passed","Sun Jun 08 07:27:24 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testTransactionSummaryMock"
"User email is remembered after first successful login with checked 'Remember me'","5782","testRememberMeCheckedSavesUserEmail","suite name","Sun Jun 08 07:30:12 GMT 2025","passed","Sun Jun 08 07:30:18 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testRememberMeCheckedSavesUserEmail"
"Choose amount popup functionality","5572","testChooseAmountPopUp","suite name","Sun Jun 08 07:24:43 GMT 2025","passed","Sun Jun 08 07:24:49 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testChooseAmountPopUp"
"Filtering transactions by date range","2669","testFilteringTransactionsByDateRange","suite name","Sun Jun 08 07:28:26 GMT 2025","passed","Sun Jun 08 07:28:29 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilteringTransactionsByDateRange"
"Reset Amount Values","6583","testResetAmountValues","suite name","Sun Jun 08 07:26:53 GMT 2025","passed","Sun Jun 08 07:26:59 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetAmountValues"
"Verify the default 'Rows Per Page' value is 25 and the dropdown contains the correct options.","2040","testRowsPerPageDropdownOptions","suite name","Sun Jun 08 07:32:20 GMT 2025","passed","Sun Jun 08 07:32:22 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testRowsPerPageDropdownOptions"
"Filtering transactions by Card type displays only matching entries in the table.","2296","testFilterByCardType","suite name","Sun Jun 08 07:26:48 GMT 2025","passed","Sun Jun 08 07:26:50 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterByCardType"
"Create company analyst under admin","25306","testCreateCompanyAnalystAndDeactivate","suite name","Sun Jun 08 07:23:45 GMT 2025","passed","Sun Jun 08 07:24:10 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testCreateCompanyAnalystAndDeactivate"
"Verify 'Add business unit' button is disabled if 'Select company' filter's field is cleaned","1816","testVerifyAddBusinessUnitButtonDefaultState","suite name","Sun Jun 08 07:31:03 GMT 2025","passed","Sun Jun 08 07:31:05 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testVerifyAddBusinessUnitButtonDefaultState"
"Verify that a new business unit wasn't added once click 'Close' button","8457","testCloseButtonAndDiscardChanges","suite name","Sun Jun 08 07:30:22 GMT 2025","passed","Sun Jun 08 07:30:30 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testCloseButtonAndDiscardChanges"
"'Creation Date' column sorts ascending by default and descending on click.","5886","testSortByCreationDate","suite name","Sun Jun 08 07:28:55 GMT 2025","passed","Sun Jun 08 07:29:01 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testSortByCreationDate"
"Edit company info and save","5658","testEditCompanyInfoAndSave","suite name","Sun Jun 08 07:30:41 GMT 2025","passed","Sun Jun 08 07:30:47 GMT 2025","xyz.npgw.test.run.EditCompanyDialogTest","test name","xyz.npgw.test.run.EditCompanyDialogTest","testEditCompanyInfoAndSave"
"User navigate to 'Reports page' after clicking on 'Reports' link on the header","822","testNavigateToReportsPage","suite name","Sun Jun 08 07:28:14 GMT 2025","passed","Sun Jun 08 07:28:15 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testNavigateToReportsPage"
"Check that selecting a company populates the 'Business units list', and when no company is selected, the list is empty with 'No items.'","2","testBusinessUnitsListUpdatesOnCompanySelection","suite name","Sun Jun 08 07:22:09 GMT 2025","unknown","Sun Jun 08 07:22:09 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testBusinessUnitsListUpdatesOnCompanySelection"
"Verify, that 'Reset filter' button change 'Status' to default value ( ALL)","2503","testResetStatus","suite name","Sun Jun 08 07:28:41 GMT 2025","passed","Sun Jun 08 07:28:44 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetStatus"
"Check password policy validation error messages when changing password in user menu","13325","testChangePasswordValidationMessages","suite name","Sun Jun 08 07:23:15 GMT 2025","passed","Sun Jun 08 07:23:29 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePasswordValidationMessages"
"Error message is displayed when start date is after end date.","967","testErrorMessageForReversedDateRange","suite name","Sun Jun 08 07:26:50 GMT 2025","passed","Sun Jun 08 07:26:51 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testErrorMessageForReversedDateRange"
"Verify that user can see selector Status Options","2439","testTheVisibilityOfTheStatusSelectorOptions","suite name","Sun Jun 08 07:29:52 GMT 2025","passed","Sun Jun 08 07:29:54 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testTheVisibilityOfTheStatusSelectorOptions"
"Error is displayed when trying to create a company with an already existing name","3271","testAddCompanyWithSameName","suite name","Sun Jun 08 07:22:57 GMT 2025","passed","Sun Jun 08 07:23:00 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testAddCompanyWithSameName"
"Check that after click on transactions in column NPGW reference user see transaction details","2670","testCheckTransactionDetails","suite name","Sun Jun 08 07:24:36 GMT 2025","passed","Sun Jun 08 07:24:38 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testCheckTransactionDetails"
"Verify that clicking the Close button successfully closes the 'Add Company' dialog.","3010","testVerifyCloseAddCompanyDialogWhenCloseButtonIsClicked","suite name","Sun Jun 08 07:23:38 GMT 2025","passed","Sun Jun 08 07:23:41 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyCloseAddCompanyDialogWhenCloseButtonIsClicked"
"Verify that the user can switch to the light theme","1047","testLightColorThemeSwitch","suite name","Sun Jun 08 07:23:52 GMT 2025","passed","Sun Jun 08 07:23:53 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testLightColorThemeSwitch"
"Error is displayed when trying to create a company with special characters in the name.","2173","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters","suite name","Sun Jun 08 07:23:30 GMT 2025","passed","Sun Jun 08 07:23:32 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testErrorIsDisplayedWhenCreatingCompanyWithSpecialCharacters"
"Verify that users can be sorted alphabetically","2844","testCheckSortingListOfUsersAlphabetically","suite name","Sun Jun 08 07:23:16 GMT 2025","passed","Sun Jun 08 07:23:19 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testCheckSortingListOfUsersAlphabetically"
