"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Edit Amount","9183","testEditAmount","suite name","Sun Jun 08 09:48:07 GMT 2025","passed","Sun Jun 08 09:48:16 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testEditAmount"
"Correct transaction summary is displayed on Dashboard page","4372","testTransactionSummary","suite name","Sun Jun 08 09:51:49 GMT 2025","passed","Sun Jun 08 09:51:53 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testTransactionSummary"
"Compare number of transactions with selected statuses in the table before and after filter","25735","testFilterByStatus","suite name","Sun Jun 08 09:51:32 GMT 2025","passed","Sun Jun 08 09:51:58 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterByStatus"
"Add new system admin under super admin","4964","testAddSystemAdmin","suite name","Sun Jun 08 09:45:48 GMT 2025","passed","Sun Jun 08 09:45:53 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testAddSystemAdmin"
"Check if the user can change the password through the profile settings in the user menu","10148","testChangePassword","suite name","Sun Jun 08 09:48:06 GMT 2025","passed","Sun Jun 08 09:48:17 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePassword"
"Log out via button in the user menu","980","testLogOutViaButtonInUserMenu","suite name","Sun Jun 08 09:46:57 GMT 2025","passed","Sun Jun 08 09:46:58 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testLogOutViaButtonInUserMenu"
"Verify content of 'Generation Parameters dialog'","6934","testContentOfGenerationParametersDialog","suite name","Sun Jun 08 09:53:01 GMT 2025","passed","Sun Jun 08 09:53:08 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testContentOfGenerationParametersDialog"
"Displaying selected currency","4891","testFilterDisplaysSelectedCurrency","suite name","Sun Jun 08 09:49:05 GMT 2025","passed","Sun Jun 08 09:49:09 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testFilterDisplaysSelectedCurrency"
"Adding a user with an existing email address results in an error message.","6525","testAddUserWithExistingEmail","suite name","Sun Jun 08 09:45:58 GMT 2025","passed","Sun Jun 08 09:46:04 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testAddUserWithExistingEmail"
"Verify that user can see selector Status Options","2427","testTheVisibilityOfTheStatusSelectorOptions","suite name","Sun Jun 08 09:54:17 GMT 2025","passed","Sun Jun 08 09:54:19 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testTheVisibilityOfTheStatusSelectorOptions"
