"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the color theme matching with the default browser theme","5","testDefaultThemeMatching","suite name","Sun Jun 08 07:01:26 GMT 2025","passed","Sun Jun 08 07:01:26 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testDefaultThemeMatching"
"Verifies that table column headers are displayed correctly on each page when navigating through paginated results.","7060","testColumnHeadersDisplayCorrectlyOnAllPages","suite name","Sun Jun 08 07:11:08 GMT 2025","passed","Sun Jun 08 07:11:15 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testColumnHeadersDisplayCorrectlyOnAllPages"
"Filtering transactions by Currency","5320","testFilterTransactionsByCurrency","suite name","Sun Jun 08 07:08:08 GMT 2025","passed","Sun Jun 08 07:08:13 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByCurrency"
"Selecting the 'Select acquirer' field opens a dropdown with Acquirers list.","2223","testSelectAcquirerDropdownFunctionality","suite name","Sun Jun 08 07:12:55 GMT 2025","passed","Sun Jun 08 07:12:57 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testSelectAcquirerDropdownFunctionality"
"Verify content of 'Generation Parameters dialog'","5535","testContentOfGenerationParametersDialog","suite name","Sun Jun 08 07:07:00 GMT 2025","passed","Sun Jun 08 07:07:06 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testContentOfGenerationParametersDialog"
"Verify validation messages when creating Acquirer with invalid input.","4358","testDisplayValidationErrorsForInvalidAcquirerInput","suite name","Sun Jun 08 07:09:22 GMT 2025","passed","Sun Jun 08 07:09:27 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testDisplayValidationErrorsForInvalidAcquirerInput"
"Verify that selecting a 'Rows Per Page' option displays the correct number of rows in the table.","6563","testRowsPerPageSelectionDisplaysCorrectNumberOfRows","suite name","Sun Jun 08 07:12:43 GMT 2025","passed","Sun Jun 08 07:12:49 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testRowsPerPageSelectionDisplaysCorrectNumberOfRows"
"Filtering transactions by Currency","9467","testFilterTransactionsByCurrency","suite name","Sun Jun 08 07:07:52 GMT 2025","passed","Sun Jun 08 07:08:02 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByCurrency"
"Verify Selecting 'Rows Per Page' Option Updates the Field Value.","5590","testSelectingRowsPerPageOptionUpdatesFieldValue","suite name","Sun Jun 08 07:13:03 GMT 2025","passed","Sun Jun 08 07:13:09 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testSelectingRowsPerPageOptionUpdatesFieldValue"
"Verify error appears when creating an Acquirer with a duplicate name.","6980","testCreateAcquirerWithDuplicateNameShowsError","suite name","Sun Jun 08 07:08:44 GMT 2025","passed","Sun Jun 08 07:08:51 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testCreateAcquirerWithDuplicateNameShowsError"
