"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"'Reset filter' clears selected options to default","2952","testResetFilter","suite name","Sun Jun 08 08:58:24 GMT 2025","passed","Sun Jun 08 08:58:27 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testResetFilter"
"Verify default filter state was applied once reset","7587","testResetAppliedFilter","suite name","Sun Jun 08 09:00:25 GMT 2025","passed","Sun Jun 08 09:00:33 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testResetAppliedFilter"
"Verify, that 'Reset filter' button change 'Card Type' to default value ( ALL)","3017","testResetCardType","suite name","Sun Jun 08 08:57:28 GMT 2025","passed","Sun Jun 08 08:57:31 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetCardType"
"Compare number of transactions with selected statuses in the table before and after filter","7111","testFilterByStatus","suite name","Sun Jun 08 08:57:41 GMT 2025","passed","Sun Jun 08 08:57:48 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterByStatus"
"Create company analyst under admin","24567","testCreateCompanyAnalystAndDeactivate","suite name","Sun Jun 08 08:54:06 GMT 2025","passed","Sun Jun 08 08:54:31 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testCreateCompanyAnalystAndDeactivate"
"Verify, that 'Reset filter' button change 'Amount' to default value ( AMOUNT)","4001","testResetAmount","suite name","Sun Jun 08 08:56:51 GMT 2025","passed","Sun Jun 08 08:56:55 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetAmount"
"Verify that user can see selector Status Options","2138","testTheVisibilityOfTheStatusSelectorOptions","suite name","Sun Jun 08 08:59:37 GMT 2025","passed","Sun Jun 08 08:59:40 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testTheVisibilityOfTheStatusSelectorOptions"
"Adding a user with an existing email address results in an error message.","6357","testAddUserWithExistingEmail","suite name","Sun Jun 08 08:53:29 GMT 2025","passed","Sun Jun 08 08:53:36 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testAddUserWithExistingEmail"
"Error message is shown for company name is shorter than 4 or longer than 100 characters.","3016","testVerifyErrorMessageForInvalidCompanyNameLength","suite name","Sun Jun 08 08:54:21 GMT 2025","passed","Sun Jun 08 08:54:24 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyErrorMessageForInvalidCompanyNameLength"
"Verify that 'Create' button is disabled when Acquirer name is empty.","0","testDisableCreateButtonWhenAcquirerNameIsEmpty","suite name","Sun Jun 08 08:59:07 GMT 2025","skipped","Sun Jun 08 08:59:07 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testDisableCreateButtonWhenAcquirerNameIsEmpty"
"Check/uncheck reports columns in the 'Generation Parameters dialog'","8977","testCheckboxesOfGenerationParameters","suite name","Sun Jun 08 08:57:49 GMT 2025","passed","Sun Jun 08 08:57:58 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testCheckboxesOfGenerationParameters"
"Correct transaction summary mock data is displayed on Dashboard page","6022","testTransactionSummaryMock","suite name","Sun Jun 08 08:57:26 GMT 2025","passed","Sun Jun 08 08:57:32 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testTransactionSummaryMock"
"User navigate to 'Transactions page' after clicking on 'Transactions' link on the header","2065","testNavigateToTransactionsPage","suite name","Sun Jun 08 08:56:19 GMT 2025","passed","Sun Jun 08 08:56:21 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testNavigateToTransactionsPage"
"The visibility of elements in the 'Acquirers List' control panel","1592","testVisibilityAcquirersListControlTab","suite name","Sun Jun 08 09:02:36 GMT 2025","passed","Sun Jun 08 09:02:38 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testVisibilityAcquirersListControlTab"
"Verify that on the Transactions Page user can see Panel: Date range, Business unit, Currency, Payment method, Status, Amount, Reset filter, Apply data, Download file, Settings.","2094","testVisibilityOfControlPanelElements","suite name","Sun Jun 08 08:59:44 GMT 2025","passed","Sun Jun 08 08:59:46 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testVisibilityOfControlPanelElements"
"Error message when trying to create a company with invalid length and special characters.","2017","testErrorForInvalidCompanyNameLengthAndCharacters","suite name","Sun Jun 08 08:53:44 GMT 2025","passed","Sun Jun 08 08:53:46 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testErrorForInvalidCompanyNameLengthAndCharacters"
"Verify, that 'Reset filter' button change 'Currency' to default value ( ALL)","3983","testResetCurrency","suite name","Sun Jun 08 08:57:52 GMT 2025","passed","Sun Jun 08 08:57:56 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetCurrency"
"Check that after click on transactions in column NPGW reference user see transaction details","2717","testCheckTransactionDetails","suite name","Sun Jun 08 08:54:51 GMT 2025","passed","Sun Jun 08 08:54:54 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testCheckTransactionDetails"
"'Reset filter' button resets the 'Status' filter to 'All' and clears the selected company","3602","testResetFilter","suite name","Sun Jun 08 08:55:56 GMT 2025","passed","Sun Jun 08 08:56:00 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testResetFilter"
"Check that Logo in header contains text 'NPGW' and image","20","testLogoContainsTextAndImage","suite name","Sun Jun 08 08:54:36 GMT 2025","passed","Sun Jun 08 08:54:36 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testLogoContainsTextAndImage"
"Error message is displayed when start date is after end date.","976","testErrorMessageForReversedDateRange","suite name","Sun Jun 08 08:57:02 GMT 2025","passed","Sun Jun 08 08:57:03 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testErrorMessageForReversedDateRange"
"Filtering transactions by date range","2841","testFilteringTransactionsByDateRange","suite name","Sun Jun 08 08:58:39 GMT 2025","passed","Sun Jun 08 08:58:42 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilteringTransactionsByDateRange"
"Filtering transactions by Currency","5541","testFilterTransactionsByCurrency","suite name","Sun Jun 08 08:58:11 GMT 2025","passed","Sun Jun 08 08:58:16 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByCurrency"
