"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check after clicking on Transactions user redirected to Transactions page","2065","testTransactionsLink","suite name","Sun Jun 08 09:11:54 GMT 2025","passed","Sun Jun 08 09:11:56 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testTransactionsLink"
"Verify Minimum and Maximum Password Length Restrictions (negative)","1779","testPasswordLengthRestrictionsOnChange","suite name","Sun Jun 08 09:11:38 GMT 2025","passed","Sun Jun 08 09:11:40 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testPasswordLengthRestrictionsOnChange"
"Verify that users can be sorted in reverse alphabetical order","3196","testCheckSortingListOfUsersReverse","suite name","Sun Jun 08 09:10:31 GMT 2025","passed","Sun Jun 08 09:10:35 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testCheckSortingListOfUsersReverse"
"'Reset filter' clears selected options to default","4266","testResetFilter","suite name","Sun Jun 08 09:14:51 GMT 2025","passed","Sun Jun 08 09:14:55 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testResetFilter"
"Verify Minimum and Maximum Password Length Restrictions (negative)","3153","testPasswordLengthRestrictionsOnChange","suite name","Sun Jun 08 09:11:30 GMT 2025","passed","Sun Jun 08 09:11:33 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testPasswordLengthRestrictionsOnChange"
"Check password policy validation error messages when changing password in user menu","17049","testChangePasswordValidationMessages","suite name","Sun Jun 08 09:09:57 GMT 2025","passed","Sun Jun 08 09:10:14 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePasswordValidationMessages"
"Check/uncheck reports columns in the 'Generation Parameters dialog'","18962","testCheckboxesOfGenerationParameters","suite name","Sun Jun 08 09:15:48 GMT 2025","passed","Sun Jun 08 09:16:07 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testCheckboxesOfGenerationParameters"
"Verifies that table column headers are displayed correctly on each page when navigating through paginated results.","7976","testColumnHeadersDisplayCorrectlyOnAllPages","suite name","Sun Jun 08 09:20:37 GMT 2025","passed","Sun Jun 08 09:20:45 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testColumnHeadersDisplayCorrectlyOnAllPages"
"Check if the user can change the password through the profile settings in the user menu","8756","testChangePassword","suite name","Sun Jun 08 09:12:32 GMT 2025","passed","Sun Jun 08 09:12:41 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testChangePassword"
"Filter acquirers by status.","3270","testFilterAcquirersByStatus","suite name","Sun Jun 08 09:21:10 GMT 2025","passed","Sun Jun 08 09:21:13 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testFilterAcquirersByStatus"
