"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify validation messages when creating Acquirer with invalid input.","0","testDisplayValidationErrorsForInvalidAcquirerInput","suite name","Thu May 15 16:25:24 GMT 2025","skipped","Thu May 15 16:25:24 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testDisplayValidationErrorsForInvalidAcquirerInput"
"","0","beforeMethod","suite name","Thu May 15 16:25:33 GMT 2025","broken","Thu May 15 16:25:33 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","beforeMethod"
"Verify that the title of the 'Edit Business Unit' dialog matches the expected result","11192","testVerifyTitleEditBusinessUnitDialog","suite name","Thu May 15 16:25:28 GMT 2025","passed","Thu May 15 16:25:39 GMT 2025","xyz.npgw.test.run.EditBusinessUnitDialogTest","test name","xyz.npgw.test.run.EditBusinessUnitDialogTest","testVerifyTitleEditBusinessUnitDialog"
"'Create' button is disabled when required fields are not filled.","0","testCreateButtonDisabledWhenRequiredFieldsAreEmpty","suite name","Thu May 15 16:25:12 GMT 2025","skipped","Thu May 15 16:25:12 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testCreateButtonDisabledWhenRequiredFieldsAreEmpty"
"Edit user under company admin","0","testEditCompanyUser","suite name","Thu May 15 16:24:13 GMT 2025","skipped","Thu May 15 16:24:13 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testEditCompanyUser"
"Verifies that the status radio buttons ('Active' and 'Inactive') toggle correctly.","0","testToggleStatusRadioButtonsCorrectly","suite name","Thu May 15 16:25:24 GMT 2025","skipped","Thu May 15 16:25:24 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testToggleStatusRadioButtonsCorrectly"
"Reset Amount Values","0","testResetAmountValues","suite name","Thu May 15 16:25:16 GMT 2025","skipped","Thu May 15 16:25:16 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetAmountValues"
"","0","beforeMethod","suite name","Thu May 15 16:25:12 GMT 2025","broken","Thu May 15 16:25:12 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","beforeMethod"
"Verify that selecting a 'Rows Per Page' option displays the correct number of rows in the table.","0","testRowsPerPageSelectionDisplaysCorrectNumberOfRows","suite name","Thu May 15 16:24:39 GMT 2025","skipped","Thu May 15 16:24:39 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testRowsPerPageSelectionDisplaysCorrectNumberOfRows"
"Verify 'Add business unit' button activation once some company is selected","0","testVerifyAvailabilityOfBusinessUnitButton","suite name","Thu May 15 16:23:58 GMT 2025","skipped","Thu May 15 16:23:58 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testVerifyAvailabilityOfBusinessUnitButton"
"Company can be added by filling out required fields","4596","testAddCompanyByFillRequiredFields","suite name","Thu May 15 16:25:01 GMT 2025","passed","Thu May 15 16:25:05 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testAddCompanyByFillRequiredFields"
"Download files: PDF, Excel, CVS","0","testDownloadFiles","suite name","Thu May 15 16:25:16 GMT 2025","skipped","Thu May 15 16:25:16 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testDownloadFiles"
"User email is remembered after first successful login with checked 'Remember me'","4077","testRememberMeCheckedSavesUserEmail","suite name","Thu May 15 16:23:43 GMT 2025","passed","Thu May 15 16:23:47 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testRememberMeCheckedSavesUserEmail"
"","0","beforeMethod","suite name","Thu May 15 16:24:21 GMT 2025","broken","Thu May 15 16:24:21 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","beforeMethod"
