"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the 'Add Acquirer' form opens with the correct header and input fields, and closes correctly.","2987","testAddAcquirerFormOpensWithCorrectHeaderAndFieldsAndClosesCorrectly","suite name","Sun Jun 08 06:29:19 GMT 2025","passed","Sun Jun 08 06:29:22 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testAddAcquirerFormOpensWithCorrectHeaderAndFieldsAndClosesCorrectly"
"Verify the request to server contains all the information from the filter","13438","testRequestToServer","suite name","Sun Jun 08 06:26:07 GMT 2025","passed","Sun Jun 08 06:26:20 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testRequestToServer"
"User email is NOT remembered after first successful login with unchecked 'Remember me'","6505","testRememberMeUncheckedDontSaveUserEmail","suite name","Sun Jun 08 06:30:26 GMT 2025","passed","Sun Jun 08 06:30:32 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testRememberMeUncheckedDontSaveUserEmail"
"Add a new user and verify that all fields, statuses, and icons are correctly displayed(e2e).","6858","testAddCompanyAnalyst","suite name","Sun Jun 08 06:21:57 GMT 2025","passed","Sun Jun 08 06:22:04 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testAddCompanyAnalyst"
"Verify that the user can switch to the light theme","742","testLightColorThemeSwitch","suite name","Sun Jun 08 06:23:16 GMT 2025","passed","Sun Jun 08 06:23:17 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testLightColorThemeSwitch"
"Filtering transactions by date range","5408","testFilteringTransactionsByDateRange","suite name","Sun Jun 08 06:28:44 GMT 2025","passed","Sun Jun 08 06:28:49 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilteringTransactionsByDateRange"
"Unauthenticated users are automatically redirected to the 'Login page'","1868","testUnauthenticatedUserRedirectionToLoginPage","suite name","Sun Jun 08 06:30:33 GMT 2025","passed","Sun Jun 08 06:30:35 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testUnauthenticatedUserRedirectionToLoginPage"
"Edit company info and save","6653","testEditCompanyInfoAndSave","suite name","Sun Jun 08 06:30:53 GMT 2025","passed","Sun Jun 08 06:31:00 GMT 2025","xyz.npgw.test.run.EditCompanyDialogTest","test name","xyz.npgw.test.run.EditCompanyDialogTest","testEditCompanyInfoAndSave"
"Filtering transactions by Card type displays only matching entries in the table.","2130","testFilterByCardType","suite name","Sun Jun 08 06:26:41 GMT 2025","passed","Sun Jun 08 06:26:44 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterByCardType"
"Error message is shown for company name is shorter than 4 or longer than 100 characters.","2851","testVerifyErrorMessageForInvalidCompanyNameLength","suite name","Sun Jun 08 06:23:15 GMT 2025","passed","Sun Jun 08 06:23:17 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyErrorMessageForInvalidCompanyNameLength"
