"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Added company appears in the 'Select company' dropdown list","4903","testVerifyCompanyPresenceInDropdown","suite name","Thu May 15 20:25:02 GMT 2025","passed","Thu May 15 20:25:07 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyCompanyPresenceInDropdown"
"Deactivate and activate user under company admin","24150","testDeactivateAndActivateCompanyUser","suite name","Thu May 15 20:21:06 GMT 2025","passed","Thu May 15 20:21:31 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testDeactivateAndActivateCompanyUser"
"Verify that a new business unit wasn't added once click 'Close' button","13433","testCloseButtonAndDiscardChanges","suite name","Thu May 15 20:19:25 GMT 2025","passed","Thu May 15 20:19:39 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testCloseButtonAndDiscardChanges"
"Verify that selecting a 'Rows Per Page' option displays the correct number of rows in the table.","7464","testRowsPerPageSelectionDisplaysCorrectNumberOfRows","suite name","Thu May 15 20:22:49 GMT 2025","passed","Thu May 15 20:22:56 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testRowsPerPageSelectionDisplaysCorrectNumberOfRows"
"Displaying selected currency","3747","testFilterDisplaysSelectedCurrency","suite name","Thu May 15 20:23:32 GMT 2025","passed","Thu May 15 20:23:36 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testFilterDisplaysSelectedCurrency"
"Verify that the 'Add Acquirer' form opens with the correct header and input fields, and closes correctly.","3268","testAddAcquirerFormOpensWithCorrectHeaderAndFieldsAndClosesCorrectly","suite name","Thu May 15 20:24:30 GMT 2025","passed","Thu May 15 20:24:33 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testAddAcquirerFormOpensWithCorrectHeaderAndFieldsAndClosesCorrectly"
"Verify that a new Acquirer can be successfully created and appears in the Acquirers dropdown.","6624","testAcquirerSuccessfullyCreatedAndAppearsInDropdown","suite name","Thu May 15 20:24:18 GMT 2025","passed","Thu May 15 20:24:25 GMT 2025","xyz.npgw.test.run.AddAcquirerDialogTest","test name","xyz.npgw.test.run.AddAcquirerDialogTest","testAcquirerSuccessfullyCreatedAndAppearsInDropdown"
"Check that selecting a company populates the 'Business units list', and when no company is selected, the list is empty with 'No items.'","6131","testBusinessUnitsListUpdatesOnCompanySelection","suite name","Thu May 15 20:20:40 GMT 2025","passed","Thu May 15 20:20:46 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testBusinessUnitsListUpdatesOnCompanySelection"
"Error message is shown for company name is shorter than 4 or longer than 100 characters.","0","testVerifyErrorMessageForInvalidCompanyNameLength","suite name","Thu May 15 20:25:21 GMT 2025","skipped","Thu May 15 20:25:21 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyErrorMessageForInvalidCompanyNameLength"
"","0","beforeMethod","suite name","Thu May 15 20:25:21 GMT 2025","broken","Thu May 15 20:25:21 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","beforeMethod"
"Verify that users can be sorted alphabetically","6451","testCheckSortingListOfUsersAlphabetically","suite name","Thu May 15 20:19:48 GMT 2025","passed","Thu May 15 20:19:54 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testCheckSortingListOfUsersAlphabetically"
"Verify that re-selecting an already selected currency keeps the selection unchanged.","7653","testRetainCurrencyWhenReSelectingSameOption","suite name","Thu May 15 20:20:58 GMT 2025","passed","Thu May 15 20:21:06 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testRetainCurrencyWhenReSelectingSameOption"
"User email is NOT remembered after first successful login with unchecked 'Remember me'","3084","testRememberMeUncheckedDontSaveUserEmail","suite name","Thu May 15 20:18:57 GMT 2025","passed","Thu May 15 20:19:00 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testRememberMeUncheckedDontSaveUserEmail"
"Error message when trying to create a company with invalid length and special characters.","2347","testErrorForInvalidCompanyNameLengthAndCharacters","suite name","Thu May 15 20:24:40 GMT 2025","passed","Thu May 15 20:24:42 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testErrorForInvalidCompanyNameLengthAndCharacters"
"Reset Amount Values","6250","testResetAmountValues","suite name","Thu May 15 20:24:39 GMT 2025","passed","Thu May 15 20:24:46 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetAmountValues"
"Verify that re-selecting an already selected status keeps the selection unchanged.","6207","testRetainStatusWhenReSelectingSameOption","suite name","Thu May 15 20:22:30 GMT 2025","passed","Thu May 15 20:22:37 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testRetainStatusWhenReSelectingSameOption"
